field_1,id,latitude,longitude,place_town,place_coun,DN_AM1,DN_AF1,DN_PM1,area_id,city_id,grade,fill,label,name,category_i,sheets,area,bounds,label_coor,residentia,commercial,industrial
"434","191291194",45.495716070000000,-122.597355519999994,Portland,Multnomah,15.160401344299316,31.597579956054688,29.396102905273438,"6057","128",C,#ffff00,C28,Mt. Scott District,"3","1",0.000201406864474,"[ [ 45.483410, -122.609750 ], [ 45.497310, -122.578750 ] ]","45.493,-122.592","1","0","0"
"384","189157578",45.481025000000002,-122.595070000000007,Portland,Multnomah,14.620850563049316,31.511020660400391,29.464223861694336,"6054","128",C,#ffff00,C29,Mt. Scott,"3","1",0.000282517854675,"[ [ 45.475940, -122.611110 ], [ 45.496790, -122.579030 ] ]","45.481,-122.595","1","0","0"
"212","100163782",45.582509958199999,-122.733980314899995,Portland,Multnomah,14.513180732727051,31.475982666015625,29.140216827392582,"6114","128",C,#ffff00,C3,Portsmouth,"3","1",0.000326948017217,"[ [ 45.571910, -122.741280 ], [ 45.591270, -122.688780 ] ]","45.58,-122.729","1","0","0"
"148","94283153",45.516616666700003,-122.583349999999996,Portland,Multnomah,15.088253021240234,31.681766510009766,29.130458831787109,"6088","128",C,#ffff00,C30,Montavilla,"3","1",0.000184098314379,"[ [ 45.508880, -122.593850 ], [ 45.523050, -122.568750 ] ]","45.515,-122.582","1","0","0"
"150","94294048",45.516408333299999,-122.585388333300003,Portland,Multnomah,15.180781364440918,31.039348602294918,29.474418640136719,"6088","128",C,#ffff00,C30,Montavilla,"3","1",0.000184098314379,"[ [ 45.508880, -122.593850 ], [ 45.523050, -122.568750 ] ]","45.515,-122.582","1","0","0"
"435","191292702",45.499337189999999,-122.578198650000004,Portland,Multnomah,15.889079093933105,32.090511322021484,29.208852767944336,"6087","128",C,#ffff00,C31,Kelly Butte,"3","1",0.000120648955741,"[ [ 45.494500, -122.579020 ], [ 45.504680, -122.564850 ] ]","45.5,-122.574","1","0","0"
"436","191294337",45.503010320000001,-122.572912790000004,Portland,Multnomah,15.098159790039062,31.658416748046875,29.145132064819336,"6087","128",C,#ffff00,C31,Kelly Butte,"3","1",0.000120648955741,"[ [ 45.494500, -122.579020 ], [ 45.504680, -122.564850 ] ]","45.5,-122.574","1","0","0"
"1","19006459",45.487538792999999,-122.571828080900005,Portland,Multnomah,14.322764396667480,31.660850524902344,28.997863769531246,"6056","128",C,#ffff00,C32,Lents,"3","1",0.000465299538534,"[ [ 45.468290, -122.579190 ], [ 45.492290, -122.558040 ] ]","45.487,-122.563","1","0","0"
"5","67931089",45.487029387800000,-122.572003304999996,Portland,Multnomah,14.363605499267578,31.616495132446289,28.960420608520508,"6056","128",C,#ffff00,C32,Lents,"3","1",0.000465299538534,"[ [ 45.468290, -122.579190 ], [ 45.492290, -122.558040 ] ]","45.487,-122.563","1","0","0"
"146","93320242",45.487295000000003,-122.572228333300004,Portland,Multnomah,14.351023674011230,31.639627456665039,28.968999862670898,"6056","128",C,#ffff00,C32,Lents,"3","1",0.000465299538534,"[ [ 45.468290, -122.579190 ], [ 45.492290, -122.558040 ] ]","45.487,-122.563","1","0","0"
"417","190505451",45.512315039599997,-122.688273964600000,Portland,Multnomah,16.734825134277344,31.605014801025391,27.662191390991211,"6066","128",C,#ffff00,C34,Park Ave.,"3","1",0.000108550911613,"[ [ 45.505030, -122.698280 ], [ 45.523530, -122.681170 ] ]","45.511,-122.687","1","0","0"
"461","192658161",45.518076826399998,-122.695495575400003,Portland,Multnomah,16.631980895996094,30.324649810791016,28.133033752441406,"6066","128",C,#ffff00,C34,Park Ave.,"3","1",0.000108550911613,"[ [ 45.505030, -122.698280 ], [ 45.523530, -122.681170 ] ]","45.511,-122.687","1","0","0"
"291","138468319",45.500130555600002,-122.689497222200004,Portland,Multnomah,16.453992843627930,28.817937850952148,28.476341247558594,"6061","128",C,#ffff00,C35,Sam Jackson Park,"3","1",0.000058306396429,"[ [ 45.494200, -122.697310 ], [ 45.503620, -122.689110 ] ]","45.498,-122.693","1","0","0"
"292","138468446",45.499880555600001,-122.689441666700006,Portland,Multnomah,16.456872940063477,28.897012710571289,28.476114273071289,"6061","128",C,#ffff00,C35,Sam Jackson Park,"3","1",0.000058306396429,"[ [ 45.494200, -122.697310 ], [ 45.503620, -122.689110 ] ]","45.498,-122.693","1","0","0"
"293","138468659",45.502047222199998,-122.693538888899994,Portland,Multnomah,16.717658996582031,27.594369888305664,27.449268341064453,"6061","128",C,#ffff00,C35,Sam Jackson Park,"3","1",0.000058306396429,"[ [ 45.494200, -122.697310 ], [ 45.503620, -122.689110 ] ]","45.498,-122.693","1","0","0"
"448","191623388",45.499932663599999,-122.689378615600006,Portland,Multnomah,16.461502075195312,28.877033233642582,28.474372863769531,"6061","128",C,#ffff00,C35,Sam Jackson Park,"3","1",0.000058306396429,"[ [ 45.494200, -122.697310 ], [ 45.503620, -122.689110 ] ]","45.498,-122.693","1","0","0"
"455","192587063",45.497588248400000,-122.693128342500003,Portland,Multnomah,16.795719146728516,28.535568237304688,27.742519378662109,"6061","128",C,#ffff00,C35,Sam Jackson Park,"3","1",0.000058306396429,"[ [ 45.494200, -122.697310 ], [ 45.503620, -122.689110 ] ]","45.498,-122.693","1","0","0"
"456","192587853",45.497659889900000,-122.690960057100000,Portland,Multnomah,16.667835235595703,28.818443298339844,28.217187881469727,"6061","128",C,#ffff00,C35,Sam Jackson Park,"3","1",0.000058306396429,"[ [ 45.494200, -122.697310 ], [ 45.503620, -122.689110 ] ]","45.498,-122.693","1","0","0"
"203","98027597",45.563261755799999,-122.640358479800000,Portland,Multnomah,15.165566444396973,31.183246612548828,29.018133163452148,"6133","128",C,#ffff00,C8,Alberta District,"3","1",0.000088633367520,"[ [ 45.562800, -122.660860 ], [ 45.568440, -122.634830 ] ]","45.566,-122.658","1","0","0"
"429","191214590",45.563288333300001,-122.640428333299994,Portland,Multnomah,15.171848297119141,31.181812286376953,29.041772842407227,"6133","128",C,#ffff00,C8,Alberta District,"3","1",0.000088633367520,"[ [ 45.562800, -122.660860 ], [ 45.568440, -122.634830 ] ]","45.566,-122.658","1","0","0"
"440","191307148",45.558270000000000,-122.627128333300007,Portland,Multnomah,15.166715621948242,31.725185394287109,29.116405487060547,"6129","128",C,#ffff00,C9,,"3","1",0.000155723757822,"[ [ 45.548100, -122.660910 ], [ 45.568340, -122.625540 ] ]","45.56,-122.63","1","0","0"
"441","191308204",45.558300000000003,-122.626945000000006,Portland,Multnomah,15.164211273193359,31.758825302124023,29.130340576171875,"6129","128",C,#ffff00,C9,,"3","1",0.000155723757822,"[ [ 45.548100, -122.660910 ], [ 45.568340, -122.625540 ] ]","45.56,-122.63","1","0","0"
"202","98026234",45.562598328100002,-122.637146869800006,Portland,Multnomah,15.245740890502930,31.220611572265625,28.725091934204102,"6130","128",D,#d9838d,D3,Alberta District,"4","1",0.000207945408474,"[ [ 45.549440, -122.660910 ], [ 45.562800, -122.633850 ] ]","45.555,-122.657","1","0","0"
"447","191621640",45.549594999999997,-122.655746666699997,Portland,Multnomah,15.863088607788086,31.509933471679688,29.246431350708008,"6130","128",D,#d9838d,D3,Alberta District,"4","1",0.000207945408474,"[ [ 45.549440, -122.660910 ], [ 45.562800, -122.633850 ] ]","45.555,-122.657","1","0","0"
"373","188429206",45.524933333299998,-122.635594999999995,Portland,Multnomah,16.296634674072266,31.034135818481445,29.729547500610352,"6082","128",D,#d9838d,D4,Central East Side and Sunnyside,"4","1",0.000285698573008,"[ [ 45.512570, -122.660020 ], [ 45.530980, -122.634900 ] ]","45.523,-122.639","1","0","0"
"374","188430346",45.525361666700000,-122.635853333300005,Portland,Multnomah,16.342760086059570,31.012245178222656,30.140651702880859,"6082","128",D,#d9838d,D4,Central East Side and Sunnyside,"4","1",0.000285698573008,"[ [ 45.512570, -122.660020 ], [ 45.530980, -122.634900 ] ]","45.523,-122.639","1","0","0"
"375","188431243",45.524828823199996,-122.636042730000000,Portland,Multnomah,16.334188461303711,31.208034515380859,29.885189056396484,"6082","128",D,#d9838d,D4,Central East Side and Sunnyside,"4","1",0.000285698573008,"[ [ 45.512570, -122.660020 ], [ 45.530980, -122.634900 ] ]","45.523,-122.639","1","0","0"
"18","72905217",45.507138828999999,-122.627643251199999,Portland,Multnomah,15.777455329895020,31.133266448974609,29.530437469482418,"6080","128",D,#d9838d,D5,Richmond,"4","1",0.000212777650065,"[ [ 45.496770, -122.651780 ], [ 45.511670, -122.622650 ] ]","45.503,-122.626","1","0","0"
"143","92123906",45.501930000000002,-122.622741666699994,Portland,Multnomah,15.710137367248535,30.970380783081055,29.501697540283203,"6080","128",D,#d9838d,D5,Richmond,"4","1",0.000212777650065,"[ [ 45.496770, -122.651780 ], [ 45.511670, -122.622650 ] ]","45.503,-122.626","1","0","0"
"144","92132264",45.502496386899999,-122.635161548799999,Portland,Multnomah,15.807769775390623,31.162132263183594,29.165916442871094,"6080","128",D,#d9838d,D5,Richmond,"4","1",0.000212777650065,"[ [ 45.496770, -122.651780 ], [ 45.511670, -122.622650 ] ]","45.503,-122.626","1","0","0"
"191","97217789",45.504219999999997,-122.641533333300004,Portland,Multnomah,15.905007362365723,31.056486129760746,29.494548797607418,"6080","128",D,#d9838d,D5,Richmond,"4","1",0.000212777650065,"[ [ 45.496770, -122.651780 ], [ 45.511670, -122.622650 ] ]","45.503,-122.626","1","0","0"
"248","126170044",45.533011111100002,-122.698805555600003,Portland,Multnomah,16.966585159301758,31.321496963500977,28.163043975830082,"6078","128",D,#d9838d,D6,Northwest Side,"4","1",0.000115742023162,"[ [ 45.523000, -122.707990 ], [ 45.541020, -122.690320 ] ]","45.536,-122.697","1","0","0"
"177","95792512",45.517181396500000,-122.691711106300005,Portland,Multnomah,16.864376068115234,31.635078430175781,27.913011550903320,"6068","128",D,#d9838d,D7,Central West Side,"4","1",0.000043323756656,"[ [ 45.512980, -122.692960 ], [ 45.521900, -122.683930 ] ]","45.518,-122.689","1","0","0"
"192","97493630",45.501838333300000,-122.680000000000007,Portland,Multnomah,16.221452713012695,31.533039093017582,27.749879837036133,"6069","128",D,#d9838d,D8,Southwest River District,"4","1",0.000155213256626,"[ [ 45.489500, -122.684350 ], [ 45.517730, -122.673260 ] ]","45.501,-122.678","1","0","0"
