OBJECTID,SDOT Unit ID,SPR Unit ID,SDCI Unit ID,SPU Tree Unit ID,SPU Planting Unit ID,Pest Unit ID,Source Department,Scientific Name,Common Name,DBH,Ownership,Unit Description,GLOBALID,x,y,DN_AF1,lat,lon
"41578732",TRE-1110547,,,,,TRE-1110547,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"14",Private,5633 S WILLOW ST,65140110-2c78-4ca1-b6b0-4c356e374f5d,1287493.84323539,200484.275666133,,47.5406410429,-122.2622844765
"41578808",TRE-1104317,,,,,TRE-1104317,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"5",Private,9620 15TH AVE NW,f574ee09-2993-43f7-b68e-32d42622bb35,1260405.76781848,259017.381368712,88.527702331543,47.6996449757,-122.3766843441
"41578861",TRE-1103510,,,,,TRE-1103510,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,c11c3f84-a5c8-4c5a-bd60-0ec91dace6dd,1256397.50057256,258471.615727961,87.3252182006836,47.6979275560,-122.3929137536
"41578862",TRE-1103527,,,,,TRE-1103527,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,2804 NW 93RD ST,daa31676-2902-4709-8677-31f0dac5f43b,1256366.4940729,258149.129824385,87.2990875244141,47.6970419258,-122.3930131023
"41579017",TRE-1094234,,,,,TRE-1094234,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"7",Private,100 NE NORTHLAKE WAY,64ded2e2-703e-429a-90a2-8abcb3a7d6e5,1272244.04171406,242084.168516055,87.7561721801758,47.6538722891,-122.3272830351
"41579350",TRE-1077147,,,,,TRE-1077147,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"3",Private,1119 NE RAVENNA BLV,5c0831c0-6795-427e-a4dd-c4014d9bebad,1275318.04672089,248348.08348164,87.3333435058594,47.6712044442,-122.3153021325
"41579677",TRE-1066313,,,,,TRE-1066313,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"14",Private,7557 20TH AVE SW,4b581207-473f-405c-86f8-d8bc6c003bf9,1263446.4638368,198521.463646889,88.7054595947266,47.5339953280,-122.3594667556
"41579687",TRE-1066714,,,,,TRE-1066714,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"25",Private,7944 8TH AVE SW,46ab8681-f151-42ea-af47-cb250004a447,1266889.51403731,197197.964325383,88.8379745483398,47.5305539861,-122.3454263178
"41579760",TRE-1062575,,,,,TRE-1062575,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Private,11680 BEACON AVE S,96438b4b-974c-45e0-93c3-2621d24ba08c,1286688.94031765,185251.72837539,88.5870971679688,47.4988473479,-122.2643959215
"41579933",TRE-1058063,,,,,TRE-1058063,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"7",Private,1212 S DIRECTOR ST,8ab03639-40d6-46fe-b341-58947294f590,1273868.04568389,194018.800736219,88.919075012207,47.5222123295,-122.3169354574
"41581208",TRE-84304,,,,,TRE-84304,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"4",Private,6360 BEACH DR SW,6d2717a2-9862-422a-bd45-eb05cf4fa719,1253988.00014223,202748.000141308,86.9793395996094,47.5450593097,-122.3980956574
"41581236",TRE-71928,,,,,TRE-71928,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"24",Private,1546 PALM AV SW,251ecf92-359c-49ff-b3bc-696e826dd605,1257933.99979614,218798.999863386,87.4939804077148,47.5892728943,-122.3834306161
"41581308",TRE-84303,,,,,TRE-84303,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"3",Private,6360 BEACH DR SW,b0db3375-8418-4751-897e-16ff5935e2b8,1253988.00014223,202748.000141308,86.9793395996094,47.5450593097,-122.3980956574
"41581735",TRE-22987,,,,,TRE-22987,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,9000 2ND AV NW,3bbc3aee-cb82-4da1-969f-e90e68517a3c,1264652.00013964,257197.000166968,87.8487548828125,47.6948875532,-122.3592971099
"41581799",TRE-46277,,,,,TRE-46277,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"56",Private,1812 30TH AVE,76867e0c-840d-4f69-a157-565d7db85e87,1280330.99994956,228887.000028551,87.5715560913086,47.6181245639,-122.2934606260
"41582031",TRE-1147618,,,,,TRE-1147618,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"3",Private,2810 SHORELAND DR S,bdbc7e6f-ab92-4133-82eb-dbb256c7535f,1282180.56186722,214464.114832386,88.1497039794922,47.5786873538,-122.2848596563
"41582043",TRE-1148236,,,,,TRE-1148236,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"28",Private,4400 46TH AVE S,c88671e9-9c9b-4176-bac9-bf88dd94724f,1284353.83507973,209035.553511053,87.6604309082031,47.5639196436,-122.2756438022
"41582127",TRE-1146061,,,,,TRE-1146061,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"1",Private,4413 LETITIA AVE S,d5522fc2-2904-4313-8fd9-84da610035ea,1280976.25850156,209010.1057273,87.6807098388672,47.5636755368,-122.2893200782
"41582164",TRE-1141886,,,,,TRE-1141886,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,5600 DELRIDGE WY SW MEDIAN,7168c873-3834-41f3-af31-6685a1e31ce8,1262690.24750148,204624.23162505,88.5441665649414,47.5506815618,-122.3630184299
"41582168",TRE-1142142,,,,,TRE-1142142,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"4",Seattle Department of Transportation,2701 1ST AVE S,36d34dae-b26b-4fad-83c6-30dd97e0c72a,1269846.90116714,219660.759294719,83.667106628418,47.5922825001,-122.3352319551
"41582172",TRE-1142342,,,,,TRE-1142342,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"2",Seattle Department of Transportation,4108 E PROSPECT ST,24ef4dcd-d8fe-48f1-862c-84be668b789c,1283897.05154447,232626.621158212,,47.6285594444,-122.2792889316
"41582274",TRE-1137812,,,,,TRE-1137812,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"36",Private,352 BLAINE ST,60926b34-53a9-44c8-873b-0a76d0f0f553,1266403.44643989,235290.387156129,87.2006149291992,47.6349375624,-122.3504329621
"41582603",TRE-1123326,,,,,TRE-1123326,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,6702 14TH AVE SW,aefaaa5f-c98e-40f7-b7a2-df6a14de76c8,1265219.94126098,201662.54102613,87.6538314819336,47.5427010738,-122.3525399132
"41582607",TRE-1123504,,,,,TRE-1123504,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"33",Private,6315 22ND AVE SW,a374dee0-cbef-45b9-8fdd-0aa16fe18490,1263118.89165731,202913.123170629,87.6403732299805,47.5460148397,-122.3611454642
"41582622",TRE-1124205,,,,,TRE-1124205,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,4100 22ND AVE SW,1835fc46-153f-415f-a1ae-4db2db7933aa,1263236.74312764,210400.120335713,87.9753494262695,47.5665427500,-122.3612702254
"41582727",TRE-1119804,,,,,TRE-1119804,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"8",Private,2220 W EMERSON ST,1da13f2e-fa5b-4ecf-af15-a7a30ccd66d5,1257809.88193414,242437.377783388,86.559211730957,47.6540572206,-122.3858658857
"41582816",TRE-1115077,,,,,TRE-1115077,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"30",Private,2164 NE 112ND ST,dc97f945-27c3-48b7-95ff-8c63945af9db,1271655.69873065,262537.696178466,89.6250534057617,47.7099033486,-122.3312850227
"41582820",TRE-1115224,,,,,TRE-1115224,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"16",Private,514 NE 102ND ST,9d15d1f0-056f-4815-9e27-220376ca5148,1273803.55893622,259715.702150553,87.939697265625,47.7022826301,-122.3223406548
"41582842",TRE-1116145,,,,,TRE-1116145,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"35",Private,10559 23RD AVE NE,7afc8541-102e-488f-bf16-521d4d5dfd3f,1278204.80767964,261189.58863847,87.0425109863281,47.7065545669,-122.3045838704
"41582978",TRE-1110453,,,,,TRE-1110453,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"4",Private,3201 S MYRTLE PL,d1391311-eee6-47e3-9485-432b0710bcf6,1280308.63549298,199889.864125296,87.1553649902344,47.5386422996,-122.2913239242
"41583077",TRE-1106037,,,,,TRE-1106037,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,401 NE 117TH ST,f4e96e1c-3962-4dee-96a2-e6042b515707,1273292.78502339,263952.520120472,86.6839904785156,47.7138684907,-122.3247480783
"41583085",TRE-1103508,,,,,TRE-1103508,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,91224656-dba9-40f0-bdf5-74157962125d,1256406.83388722,258471.550111294,87.3252182006836,47.6979278947,-122.3928758544
"41583150",TRE-1103330,,,,,TRE-1103330,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"15",Private,2502 NW 92ND ST,efafc1f0-01ea-4535-be4b-443b8def8d7d,1257420.22523314,257834.783996388,87.4250106811523,47.6962387912,-122.3887091666
"41583235",TRE-1098078,,,,,TRE-1098078,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"26",Seattle Department of Transportation,651 NE 42ND ST,61fba0a0-0caa-4052-adde-57f9f9784d9f,1273716.79270557,243225.478897467,87.6691665649414,47.6570788092,-122.3213980791
"41583440",TRE-1089294,,,,,TRE-1089294,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"4",Private,1225 ALASKAN WAY,c67c669d-f2b3-4636-8e79-2cd59bb8abed,1268652.75198065,224630.647976965,87.8523864746094,47.6058408005,-122.3404649159
"41583513",TRE-1086766,,,,,TRE-1086766,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"17",Private,9201 49TH AVE NE,2fb596b2-2c68-41c1-8bf0-ef4ace767b07,1285484.41319914,256723.888252303,87.9642333984375,47.6946917598,-122.2746827906
"41583653",TRE-1080771,,,,,TRE-1080771,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"8",Seattle Department of Transportation,800 N 43RD ST,6ed96767-bac6-4797-a881-efc2fadcbc62,1265100.79845464,244278.697919637,86.6461410522461,47.6595035567,-122.3564369147
"41583769",TRE-1073911,,,,,TRE-1073911,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Seattle Department of Transportation,2815 BOYLSTON AVE E,b09a57c3-c744-4637-8800-625858b9ac1b,1273209.48400889,239280.839805141,89.41015625,47.6462397511,-122.3231463536
"41584061",TRE-1067077,,,,,TRE-1067077,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,3240 NW 54TH ST,80cce7f9-ef4d-4ba7-a4a6-9f59db008da1,1254341.33604972,247451.925825134,86.8327255249023,47.6676089924,-122.4003507327
